people,img_id,Layer,X,Y,GrayValue
shn,frame_006546,7,111,278,126.26
shn,frame_006546,8,111,278,246.86
shn,frame_006546,9,111,278,186.87
shn,frame_006546,10,111,278,98.84
shn,frame_006546,11,111,278,122.42
shn,frame_006546,12,111,278,247.99
shn,frame_006546,13,111,278,207.11
shn,frame_006546,14,111,278,101.13
shn,frame_006546,15,111,278,128.35
shn,frame_006550,0,111,278,245.43
shn,frame_006550,1,111,278,220.57
shn,frame_006550,2,111,278,104.45
shn,frame_006550,3,111,278,141.39
shn,frame_006550,4,111,278,243.36
shn,frame_006550,5,111,278,189.78
shn,frame_006550,6,111,278,97.16
shn,frame_006550,7,111,278,126.26
shn,frame_006550,8,111,278,246.86
shn,frame_006550,9,111,278,186.87
shn,frame_006550,10,111,278,98.84
shn,frame_006550,11,111,278,122.42
shn,frame_006550,12,111,278,247.99
shn,frame_006550,13,111,278,207.11
shn,frame_006550,14,111,278,101.13
shn,frame_006550,15,111,278,128.35
shn,frame_006563,0,112,278,249.33
shn,frame_006563,1,112,278,228.15
shn,frame_006563,2,112,278,111.35
shn,frame_006563,3,112,278,149.35
shn,frame_006563,4,112,278,246.92
shn,frame_006563,5,112,278,198.92
shn,frame_006563,6,112,278,104.04
shn,frame_006563,7,112,278,134.21
shn,frame_006563,8,112,278,249.23
shn,frame_006563,9,112,278,197.37
shn,frame_006563,10,112,278,104.0
shn,frame_006563,11,112,278,130.33
shn,frame_006563,12,112,278,249.17
shn,frame_006563,13,112,278,216.01
shn,frame_006563,14,112,278,106.14
shn,frame_006563,15,112,278,134.8
shn,frame_006574,0,111,277,247.65
shn,frame_006574,1,111,277,231.76
shn,frame_006574,2,111,277,110.54
shn,frame_006574,3,111,277,145.56
shn,frame_006574,4,111,277,244.14
shn,frame_006574,5,111,277,203.24
shn,frame_006574,6,111,277,101.88
shn,frame_006574,7,111,277,130.97
shn,frame_006574,8,111,277,247.65
shn,frame_006574,9,111,277,201.6
shn,frame_006574,10,111,277,103.51
shn,frame_006574,11,111,277,129.78
shn,frame_006574,12,111,277,247.3
shn,frame_006574,13,111,277,220.48
shn,frame_006574,14,111,277,107.73
shn,frame_006574,15,111,277,136.33
shn,frame_006580,0,112,277,249.14
shn,frame_006580,1,112,277,237.57
shn,frame_006580,2,112,277,116.03
shn,frame_006580,3,112,277,149.92
shn,frame_006580,4,112,277,247.7
shn,frame_006580,5,112,277,209.99
shn,frame_006580,6,112,277,108.49
shn,frame_006580,7,112,277,138.43
shn,frame_006580,8,112,277,248.14
shn,frame_006580,9,112,277,207.83
shn,frame_006580,10,112,277,110.53
shn,frame_006580,11,112,277,136.02
shn,frame_006580,12,112,277,247.96
shn,frame_006580,13,112,277,227.25
shn,frame_006580,14,112,277,114.87
shn,frame_006580,15,112,277,142.64
shn,frame_006610,0,112,278,248.09
shn,frame_006610,1,112,278,228.67
shn,frame_006610,2,112,278,112.12
shn,frame_006610,3,112,278,148.02
shn,frame_006610,4,112,278,246.26
shn,frame_006610,5,112,278,200.25
shn,frame_006610,6,112,278,104.27
shn,frame_006610,7,112,278,133.14
shn,frame_006610,8,112,278,248.82
shn,frame_006610,9,112,278,197.27
shn,frame_006610,10,112,278,105.21
shn,frame_006610,11,112,278,129.14
shn,frame_006610,12,112,278,247.79
shn,frame_006610,13,112,278,215.66
shn,frame_006610,14,112,278,107.98
shn,frame_006610,15,112,278,134.99
shn,frame_006621,0,112,278,248.9
shn,frame_006621,1,112,278,229.77
shn,frame_006621,2,112,278,111.58
shn,frame_006621,3,112,278,149.71
shn,frame_006621,4,112,278,246.87
shn,frame_006621,5,112,278,200.49
shn,frame_006621,6,112,278,104.23
shn,frame_006621,7,112,278,134.36
shn,frame_006621,8,112,278,249.69
shn,frame_006621,9,112,278,197.14
shn,frame_006621,10,112,278,105.49
shn,frame_006621,11,112,278,130.02
shn,frame_006621,12,112,278,249.32
shn,frame_006621,13,112,278,217.02
shn,frame_006621,14,112,278,107.92
shn,frame_006621,15,112,278,135.79
shn,frame_006631,0,111,278,246.45
shn,frame_006631,1,111,278,221.84
shn,frame_006631,2,111,278,105.47
shn,frame_006631,3,111,278,142.61
shn,frame_006631,4,111,278,243.29
shn,frame_006631,5,111,278,192.28
shn,frame_006631,6,111,278,96.87
shn,frame_006631,7,111,278,126.04
shn,frame_006631,8,111,278,247.33
shn,frame_006631,9,111,278,189.49
shn,frame_006631,10,111,278,98.17
shn,frame_006631,11,111,278,122.31
shn,frame_006631,12,111,278,247.97
shn,frame_006631,13,111,278,209.66
shn,frame_006631,14,111,278,101.21
shn,frame_006631,15,111,278,128.34
shn,frame_006634,0,115,279,251.24
shn,frame_006634,1,115,279,252.96
shn,frame_006634,2,115,279,152.2
shn,frame_006634,3,115,279,184.88
shn,frame_006634,4,115,279,249.4
shn,frame_006634,5,115,279,249.36
shn,frame_006634,6,115,279,148.88
shn,frame_006634,7,115,279,182.92
shn,frame_006634,8,115,279,248.72
shn,frame_006634,9,115,279,249.6
shn,frame_006634,10,115,279,149.64
shn,frame_006634,11,115,279,184.16
shn,frame_006634,12,115,279,250.12
shn,frame_006634,13,115,279,252.68
shn,frame_006634,14,115,279,152.72
shn,frame_006634,15,115,279,187.56
shn,frame_006646,0,115,280,250.2
shn,frame_006646,1,115,280,251.44
shn,frame_006646,2,115,280,148.0
shn,frame_006646,3,115,280,182.32
shn,frame_006646,4,115,280,250.52
shn,frame_006646,5,115,280,242.64
shn,frame_006646,6,115,280,142.32
shn,frame_006646,7,115,280,174.56
shn,frame_006646,8,115,280,251.36
shn,frame_006646,9,115,280,241.48
shn,frame_006646,10,115,280,138.92
shn,frame_006646,11,115,280,171.52
shn,frame_006646,12,115,280,249.4
shn,frame_006646,13,115,280,249.32
shn,frame_006646,14,115,280,142.12
shn,frame_006646,15,115,280,174.84
shn,frame_006656,0,114,279,250.84
shn,frame_006656,1,114,279,251.2
shn,frame_006656,2,114,279,145.96
shn,frame_006656,3,114,279,180.92
shn,frame_006656,4,114,279,248.68
shn,frame_006656,5,114,279,242.04
shn,frame_006656,6,114,279,141.68
shn,frame_006656,7,114,279,175.92
shn,frame_006656,8,114,279,250.0
shn,frame_006656,9,114,279,242.16
shn,frame_006656,10,114,279,141.4
shn,frame_006656,11,114,279,176.8
shn,frame_006656,12,114,279,249.12
shn,frame_006656,13,114,279,249.8
shn,frame_006656,14,114,279,145.96
shn,frame_006656,15,114,279,180.56
shn,frame_006666,0,114,278,250.44
shn,frame_006666,1,114,278,252.6
shn,frame_006666,2,114,278,142.24
shn,frame_006666,3,114,278,176.04
shn,frame_006666,4,114,278,249.48
shn,frame_006666,5,114,278,245.44
shn,frame_006666,6,114,278,140.12
shn,frame_006666,7,114,278,173.32
shn,frame_006666,8,114,278,249.16
shn,frame_006666,9,114,278,245.8
shn,frame_006666,10,114,278,144.0
shn,frame_006666,11,114,278,177.36
shn,frame_006666,12,114,278,248.6
shn,frame_006666,13,114,278,252.32
shn,frame_006666,14,114,278,149.36
shn,frame_006666,15,114,278,186.0
shn,frame_006676,0,115,280,250.16
shn,frame_006676,1,115,280,251.36
shn,frame_006676,2,115,280,143.36
shn,frame_006676,3,115,280,182.88
shn,frame_006676,4,115,280,251.48
shn,frame_006676,5,115,280,243.48
shn,frame_006676,6,115,280,139.48
shn,frame_006676,7,115,280,178.48
shn,frame_006676,8,115,280,250.52
shn,frame_006676,9,115,280,241.76
shn,frame_006676,10,115,280,137.56
shn,frame_006676,11,115,280,175.32
shn,frame_006676,12,115,280,248.2
shn,frame_006676,13,115,280,249.72
shn,frame_006676,14,115,280,137.88
shn,frame_006676,15,115,280,176.28
shn,frame_006686,0,116,281,250.96
shn,frame_006686,1,116,281,249.16
shn,frame_006686,2,116,281,136.8
shn,frame_006686,3,116,281,167.52
shn,frame_006686,4,116,281,250.32
shn,frame_006686,5,116,281,231.84
